YEAR,MONTH,BENE_GEO_LVL,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,A_B_TOT_BENES,A_B_ORGNL_MDCR_BENES,A_B_MA_AND_OTH_BENES
2017,Year,State,NE,Nebraska,Total,31,329480,286449,43031,301745,258728,43018
2017,Year,State,NV,Nevada,Total,32,492325,319219,173106,439722,266673,173049
2017,Year,State,NH,New Hampshire,Total,33,280990,250636,30354,251041,220698,30344
2017,Year,State,NJ,New Jersey,Total,34,1553278,1214375,338903,1381564,1042780,338785
2017,Year,State,NM,New Mexico,Total,35,396908,262927,133981,358531,224594,133937
2017,Year,State,NY,New York,Total,36,3482221,2126620,1355601,3126039,1770649,1355390
2017,Year,State,NC,North Carolina,Total,37,1877420,1275239,602181,1762313,1160278,602035
2017,Year,State,ND,North Dakota,Total,38,124089,101502,22587,113850,91273,22578
2017,Year,State,OH,Ohio,Total,39,2249050,1372602,876448,2071778,1205680,866098
2017,Year,State,OK,Oklahoma,Total,40,706317,578280,128037,646237,518215,128021
2017,Year,State,OR,Oregon,Total,41,807584,447460,360124,742426,382362,360065
2017,Year,State,PA,Pennsylvania,Total,42,2629753,1552535,1077218,2410301,1333311,1076990
2017,Year,State,RI,Rhode Island,Total,44,211664,120871,90792,186587,95821,90766
2017,Year,State,SC,South Carolina,Total,45,1006419,745487,260932,941161,680336,260826
2017,Year,State,SD,South Dakota,Total,46,165403,130682,34721,152354,117635,34718
2017,Year,State,TN,Tennessee,Total,47,1294909,820040,474869,1205576,730852,474724
2017,Year,State,TX,Texas,Total,48,3883588,2522372,1361217,3545615,2184565,1361049
2017,Year,State,UT,Utah,Total,49,371924,240558,131366,333828,202482,131346
2017,Year,State,VT,Vermont,Total,50,139235,126487,12748,127061,114318,12743
2017,Year,State,VA,Virginia,Total,51,1427679,1149629,278050,1284406,1006445,277961
2017,Year,State,WA,Washington,Total,53,1277421,884996,392425,1161671,769333,392338
2017,Year,State,WV,West Virginia,Total,54,427858,304096,123761,399835,276116,123720
2017,Year,State,WI,Wisconsin,Total,55,1110269,667607,442662,1037063,594447,442617
2017,Year,State,WY,Wyoming,Total,56,101935,97921,4014,93763,89753,4010
2017,Year,State,AS,American Samoa,Total,60,3989,3842,147,2515,2368,147
2017,Year,State,GU,Guam,Total,66,16183,16108,75,10753,10678,75
2017,Year,State,MP,Northern Mariana Islands,Total,69,2236,*,*,1674,*,*
2017,Year,State,PR,Puerto Rico,Total,72,734121,171923,562199,623085,61003,562082
2017,Year,State,VI,Virgin Islands,Total,78,19665,19389,276,17765,17489,276
2017,Year,State,UK,Unknown,Unknown,99,*,*,*,*,*,*
2017,Year,State,FO,Foreign and Other Outlying Areas,Total,     ,447208,444341,2867,46131,43266,2865
2018,Year,State,AL,Alabama,Total,1,1027493,624503,402990,952233,549309,402924
2018,Year,State,AK,Alaska,Total,2,96213,94698,1514,84069,82558,1511
